,yyyymmdd,traceid,count
408,19960116,MV.MHRV.--.SHY,0
409,19960116,MV.MBET.--.SHZ,30
410,19960116,MV.MSSZ.--.SHZ,30
411,19960116,MV.MHRN.--.SHY,0
412,19960116,MV.MLGT.--.SHZ,30
413,19960116,MV.MRYT.--.SHZ,30
414,19960116,MV.MSSE.--.SHX,30
415,19960116,MV.MCPN.--.SHY,0
416,19960116,MV.MCPT.--.SHZ,0
417,19960116,MV.MSSN.--.SHY,30
418,19960116,MV.MGAT.--.SHZ,30
419,19960116,MV.MCPE.--.SHX,0
420,19960116,MV.MGT2.--.SHZ,0
421,19960116,MV.MHRE.--.SHZ,0
422,19960116,MV.MSPT.--.SHZ,30
423,19960116,MV.MGHZ.--.SHZ,30
424,19960116,MV.MHRN.--.SHX,0
425,19960116,MV.MWHT.--.SHZ,30
426,19960116,MV.MVPN.--.SHY,30
427,19960116,MV.MWH2.--.SHZ,0
428,19960116,MV.MLGL.--.SHZ,30
429,19960116,MV.MCHT.--.SHZ,0
430,19960116,MV.MHRV.--.SHZ,0
431,19960116,MV.MHRE.--.SHX,0
432,19960117,MV.MCPZ.--.SHZ,0
433,19960117,MV.MVPV.--.SHZ,12
434,19960117,MV.MVPE.--.SHX,12
435,19960117,MV.MHRV.--.SHY,0
436,19960117,MV.MBET.--.SHZ,12
437,19960117,MV.MSSZ.--.SHZ,12
438,19960117,MV.MHRN.--.SHY,0
439,19960117,MV.MLGT.--.SHZ,12
440,19960117,MV.MRYT.--.SHZ,12
441,19960117,MV.MSSE.--.SHX,12
442,19960117,MV.MCPN.--.SHY,0
443,19960117,MV.MCPT.--.SHZ,0
444,19960117,MV.MSSN.--.SHY,12
445,19960117,MV.MGAT.--.SHZ,12
446,19960117,MV.MCPE.--.SHX,0
447,19960117,MV.MGT2.--.SHZ,0
448,19960117,MV.MHRE.--.SHZ,0
449,19960117,MV.MSPT.--.SHZ,12
450,19960117,MV.MGHZ.--.SHZ,12
451,19960117,MV.MHRN.--.SHX,0
452,19960117,MV.MWHT.--.SHZ,12
453,19960117,MV.MVPN.--.SHY,12
454,19960117,MV.MWH2.--.SHZ,0
455,19960117,MV.MLGL.--.SHZ,12
456,19960117,MV.MCHT.--.SHZ,0
457,19960117,MV.MHRV.--.SHZ,0
458,19960117,MV.MHRE.--.SHX,0
459,19960118,MV.MCPZ.--.SHZ,0
460,19960118,MV.MVPV.--.SHZ,11
461,19960118,MV.MVPE.--.SHX,11
462,19960118,MV.MHRV.--.SHY,0
463,19960118,MV.MBET.--.SHZ,11
464,19960118,MV.MSSZ.--.SHZ,11
465,19960118,MV.MHRN.--.SHY,0
466,19960118,MV.MLGT.--.SHZ,11
467,19960118,MV.MRYT.--.SHZ,11
468,19960118,MV.MSSE.--.SHX,11
469,19960118,MV.MCPN.--.SHY,0
470,19960118,MV.MCPT.--.SHZ,0
471,19960118,MV.MSSN.--.SHY,11
