date	MRYT
19990125	0.26
19990126	0.98
19990127	0.97
19990128	0.85
19990129	0.90
19990130	0.64
19990131	0.41
19990201	0.08
19990202	0.44
19990203	0.99
19990204	0.95
19990205	0.93
19990206	0.60
19990207	0.32
19990208	0.31
19990209	0.30
19990210	0.73
19990211	0.87
19990212	0.54
19990213	0.46
19990214	0.78
19990215	0.46
19990216	0.18
19990217	0.39
19990218	0.24
19990219	0.13
19990220	0.15
19990221	0.15
19990222	0.19
19990223	0.28
19990224	0.22
19990225	0.69
19990226	0.92
19990227	1.00
19990228	0.91
19990301	0.89
19990302	0.85
19990303	0.79
19990304	0.81
19990305	0.85
19990306	0.90
19990307	0.75
19990308	0.54
19990309	0.20
19990310	0.12
19990311	0.13
19990312	0.10
19990313	0.16
19990314	0.11
19990315	0.67
19990316	0.53
19990317	0.24
19990318	0.58
19990319	0.74
19990320	0.51
19990321	0.20
19990322	0.19
19990323	0.40
19990324	0.59
19990325	0.60
19990326	0.90
19990327	0.93
19990328	0.86
19990329	0.94
19990330	0.98
19990331	0.94
19990401	0.86
19990402	0.69
19990403	0.49
19990404	0.19
19990405	0.34
19990406	0.11
19990407	0.18
19990408	0.71
19990409	0.60
19990410	0.33
19990411	0.24
19990412	0.30
19990413	0.38
19990414	0.23
19990415	0.14
19990416	0.25
19990417	0.69
19990418	0.90
19990419	0.97
19990420	0.98
19990421	0.97
19990422	0.95
19990423	0.83
19990424	0.75
19990425	0.61
19990426	0.20
19990427	0.22
19990428	0.13
19990429	0.44
19990430	0.20
19990501	0.08
19990502	0.28
19990503	0.49
19990504	0.49
19990505	0.55
19990506	0.33
19990507	0.31
19990508	0.34
19990509	0.19
19990510	0.29
19990511	0.12
19990512	0.21
19990513	0.15
19990514	0.12
19990515	0.19
19990516	0.13
19990517	0.17
19990518	0.11
19990519	0.10
19990520	0.11
19990521	0.10
19990522	0.49
19990523	0.42
19990524	0.38
19990525	0.68
19990526	0.85
19990527	0.56
19990528	0.19
19990529	0.12
19990530	0.08
19990531	0.17
19990601	0.08
19990602	0.18
19990603	0.17
19990604	0.47
19990605	0.58
19990606	0.72
19990607	0.56
19990608	0.35
19990609	0.29
19990610	0.85
19990611	0.82
19990612	0.89
19990613	0.98
19990614	0.97
19990615	0.91
19990616	0.58
19990617	0.82
19990618	0.91
19990619	0.97
19990620	0.93
19990621	1.00
19990622	1.00
19990623	0.97
19990624	0.95
19990625	0.83
19990626	0.98
19990627	0.96
19990628	0.97
19990629	0.80
19990630	0.62
19990701	0.77
19990702	0.94
19990703	0.99
19990704	0.97
19990705	0.59
19990706	0.34
19990707	0.73
19990708	0.90
19990709	0.94
19990710	0.60
19990711	0.33
19990712	0.30
19990713	0.44
19990714	0.17
19990715	0.33
19990716	0.45
19990717	0.68
19990718	0.89
19990719	0.77
19990720	0.66
19990721	0.16
19990722	0.34
19990723	0.53
19990724	0.51
19990725	0.38
19990726	0.65
19990727	0.90
19990728	0.88
19990729	0.50
19990730	0.57
19990731	0.93
19990801	0.52
19990802	0.44
19990803	0.33
19990804	0.33
19990805	0.55
19990806	0.22
19990807	0.62
19990808	0.90
19990809	0.82
19990810	0.73
19990811	0.15
19990812	0.13
19990813	0.12
19990814	0.12
19990815	0.51
